ts,batch,event,file,rows_before,rows_after,detail
2026-03-31 23:19:09,GEN,SEASON_2425_GENERATED,season_2024_25.json,,10515,
2026-03-31 23:25:39,GEN,SEASON_2526_GENERATED,season_2025_26.json,,16122,
2026-03-31 23:26:53,B0,BATCH_START,,,,
2026-03-31 23:27:04,B0,BOXSCORES_FETCHED,,,,163 rows for 2026-03-30
2026-03-31 23:27:10,B0,BATCH_SUMMARY,,,,"plays_graded=89, wins=51, losses=38, dnp=16"
2026-03-31 23:27:12,B0,FILE_STATE_BEFORE_APPEND,nba_gamelogs_2025_26.csv,24137,,
2026-03-31 23:27:26,B0,INTEGRITY_OK,/Users/salman/Documents/GitHub/PropEdgeV10.0/source-files/nba_gamelogs_2025_26.csv,24137,24300,APPEND_GAMELOGS
2026-03-31 23:27:26,B0,ROLLING_UPDATE_FAILED,,,,name 'load_combined' is not defined
2026-03-31 23:32:29,B0,BATCH_COMPLETE,,,,
2026-03-31 23:35:22,B2,BATCH_START,,,,2026-03-31
2026-03-31 23:35:34,B2,PROPS_FETCHED,,,,"0 props, 7 games"
2026-03-31 23:36:36,B2,BATCH_START,,,,2026-03-31
2026-03-31 23:36:43,B2,PROPS_FETCHED,,,,"92 props, 7 games"
2026-03-31 23:36:54,B2,EXCEL_SOURCE_UPDATED,,,,props=16214 (+92) spreads=1385 (+7)
2026-03-31 23:37:09,B2,PREDICTIONS,,,,"91 plays, skipped 1"
2026-03-31 23:37:09,B2,BATCH_SUMMARY,,,,"props_fetched=91, plays_added=91"
2026-03-31 23:37:09,B2,INTEGRITY_OK,/Users/salman/Documents/GitHub/PropEdgeV10.0/data/today.json,0,91,SAVE_TODAY
2026-03-31 23:37:12,B2,BATCH_COMPLETE,,,,
2026-04-01 06:00:06,B0,BATCH_START,,,,
2026-04-01 06:00:17,B0,BOXSCORES_FETCHED,,,,118 rows for 2026-03-31
2026-04-01 06:00:18,B0,BATCH_SUMMARY,,,,"plays_graded=66, wins=38, losses=28, dnp=25"
2026-04-01 06:00:21,B0,FILE_STATE_BEFORE_APPEND,nba_gamelogs_2025_26.csv,24300,,
2026-04-01 06:00:39,B0,INTEGRITY_OK,/Users/salman/Documents/GitHub/PropEdgeV10.0/source-files/nba_gamelogs_2025_26.csv,24300,24443,APPEND_GAMELOGS
2026-04-01 06:00:39,B0,ROLLING_UPDATE_FAILED,,,,name 'load_combined' is not defined
2026-04-01 06:07:42,B0,BATCH_COMPLETE,,,,
2026-04-01 08:00:01,B1,BATCH_START,,,,2026-04-01
2026-04-01 08:00:13,B1,PROPS_FETCHED,,,,"107 props, 9 games"
2026-04-01 08:00:28,B1,EXCEL_SOURCE_UPDATED,,,,props=16321 (+107) spreads=1394 (+9)
2026-04-01 08:00:47,B1,PREDICTIONS,,,,"106 plays, skipped 1"
2026-04-01 08:00:48,B1,BATCH_SUMMARY,,,,"props_fetched=106, plays_added=106"
2026-04-01 08:00:48,B1,INTEGRITY_OK,/Users/salman/Documents/GitHub/PropEdgeV10.0/data/today.json,91,197,SAVE_TODAY
2026-04-01 08:00:51,B1,BATCH_COMPLETE,,,,
2026-04-01 18:00:01,B2,BATCH_START,,,,2026-04-01
2026-04-01 18:00:22,B2,PROPS_FETCHED,,,,"108 props, 9 games"
2026-04-01 18:00:39,B2,EXCEL_SOURCE_UPDATED,,,,props=16324 (+3) spreads=1394 (+0)
2026-04-01 18:00:57,B2,PREDICTIONS,,,,"107 plays, skipped 1"
2026-04-01 18:00:57,B2,BATCH_SUMMARY,,,,"props_fetched=107, plays_added=3"
2026-04-01 18:00:57,B2,INTEGRITY_OK,/Users/salman/Documents/GitHub/PropEdgeV10.0/data/today.json,197,200,SAVE_TODAY
2026-04-01 18:01:02,B2,BATCH_COMPLETE,,,,
2026-04-01 20:14:28,B0,BATCH_START,,,,
2026-04-01 20:14:38,B0,BOXSCORES_FETCHED,,,,166 rows for 2026-03-31
2026-04-01 20:14:39,B0,BATCH_SUMMARY,,,,"plays_graded=25, wins=13, losses=12, dnp=0"
2026-04-01 20:14:42,B0,FILE_STATE_BEFORE_APPEND,nba_gamelogs_2025_26.csv,24443,,
2026-04-01 20:15:01,B0,INTEGRITY_OK,/Users/salman/Documents/GitHub/PropEdgeV10.0/source-files/nba_gamelogs_2025_26.csv,24443,24466,APPEND_GAMELOGS
2026-04-01 20:15:01,B0,ROLLING_UPDATE_FAILED,,,,name 'load_combined' is not defined
2026-04-01 20:21:00,B0,BATCH_COMPLETE,,,,
2026-04-01 20:24:34,B1,BATCH_START,,,,2026-04-01
2026-04-01 20:24:41,B1,PROPS_FETCHED,,,,"108 props, 9 games"
2026-04-01 20:24:54,B1,EXCEL_SOURCE_UPDATED,,,,props=16328 (+4) spreads=1394 (+0)
2026-04-01 20:25:11,B1,PREDICTIONS,,,,"107 plays, skipped 1"
2026-04-01 20:25:11,B1,BATCH_SUMMARY,,,,"props_fetched=107, plays_added=4"
2026-04-01 20:25:11,B1,INTEGRITY_OK,/Users/salman/Documents/GitHub/PropEdgeV10.0/data/today.json,200,204,SAVE_TODAY
2026-04-01 20:25:14,B1,BATCH_COMPLETE,,,,
2026-04-01 21:30:01,B3,BATCH_START,,,,2026-04-01
2026-04-01 22:35:13,B3,BATCH_START,,,,2026-04-01
2026-04-01 22:35:21,B3,PROPS_FETCHED,,,,"109 props, 9 games"
2026-04-01 22:35:41,B3,EXCEL_SOURCE_UPDATED,,,,props=16330 (+2) spreads=1394 (+0)
2026-04-01 22:36:04,B3,PREDICTIONS,,,,"108 plays, skipped 1"
2026-04-01 22:36:04,B3,BATCH_SUMMARY,,,,"props_fetched=108, plays_added=2"
2026-04-01 22:36:04,B3,INTEGRITY_OK,/Users/salman/Documents/GitHub/PropEdgeV10.0/data/today.json,204,206,SAVE_TODAY
2026-04-01 22:36:08,B3,BATCH_COMPLETE,,,,
2026-04-02 06:00:07,B0,BATCH_START,,,,
2026-04-02 06:00:20,B0,BOXSCORES_FETCHED,,,,171 rows for 2026-04-01
2026-04-02 06:00:21,B0,BATCH_SUMMARY,,,,"plays_graded=92, wins=53, losses=39, dnp=23"
2026-04-02 06:00:23,B0,FILE_STATE_BEFORE_APPEND,nba_gamelogs_2025_26.csv,24466,,
2026-04-02 06:00:42,B0,INTEGRITY_OK,/Users/salman/Documents/GitHub/PropEdgeV10.0/source-files/nba_gamelogs_2025_26.csv,24466,24660,APPEND_GAMELOGS
2026-04-02 06:00:42,B0,ROLLING_UPDATE_FAILED,,,,name 'load_combined' is not defined
2026-04-02 06:06:56,B0,BATCH_COMPLETE,,,,
2026-04-02 08:00:01,B1,BATCH_START,,,,2026-04-02
2026-04-02 08:00:11,B1,PROPS_FETCHED,,,,"83 props, 6 games"
2026-04-02 08:00:30,B1,EXCEL_SOURCE_UPDATED,,,,props=16413 (+83) spreads=1400 (+6)
2026-04-02 08:00:48,B1,PREDICTIONS,,,,"83 plays, skipped 0"
2026-04-02 08:00:49,B1,BATCH_SUMMARY,,,,"props_fetched=83, plays_added=83"
2026-04-02 08:00:49,B1,INTEGRITY_OK,/Users/salman/Documents/GitHub/PropEdgeV10.0/data/today.json,206,289,SAVE_TODAY
2026-04-02 08:00:52,B1,BATCH_COMPLETE,,,,
2026-04-02 13:57:41,B0,BATCH_START,,,,
2026-04-02 13:57:54,B0,BOXSCORES_FETCHED,,,,190 rows for 2026-04-01
2026-04-02 13:57:56,B0,BATCH_SUMMARY,,,,"plays_graded=11, wins=7, losses=4, dnp=12"
2026-04-02 13:57:58,B0,FILE_STATE_BEFORE_APPEND,nba_gamelogs_2025_26.csv,24660,,
2026-04-02 13:58:19,B0,INTEGRITY_OK,/Users/salman/Documents/GitHub/PropEdgeV10.0/source-files/nba_gamelogs_2025_26.csv,24660,24668,APPEND_GAMELOGS
2026-04-02 13:58:19,B0,ROLLING_UPDATE_FAILED,,,,name 'load_combined' is not defined
2026-04-02 14:04:23,B0,BATCH_COMPLETE,,,,
2026-04-02 18:00:01,B2,BATCH_START,,,,2026-04-02
2026-04-02 18:00:09,B2,PROPS_FETCHED,,,,"85 props, 6 games"
2026-04-02 18:00:27,B2,EXCEL_SOURCE_UPDATED,,,,props=16415 (+2) spreads=1400 (+0)
2026-04-02 18:00:45,B2,PREDICTIONS,,,,"85 plays, skipped 0"
2026-04-02 18:00:46,B2,BATCH_SUMMARY,,,,"props_fetched=85, plays_added=2"
2026-04-02 18:00:46,B2,INTEGRITY_OK,/Users/salman/Documents/GitHub/PropEdgeV10.0/data/today.json,289,291,SAVE_TODAY
2026-04-02 18:00:49,B2,BATCH_COMPLETE,,,,
2026-04-02 21:30:01,B3,BATCH_START,,,,2026-04-02
2026-04-02 21:30:18,B3,PROPS_FETCHED,,,,"63 props, 6 games"
2026-04-02 21:30:32,B3,EXCEL_SOURCE_UPDATED,,,,props=16415 (+0) spreads=1400 (+0)
2026-04-02 21:30:49,B3,PREDICTIONS,,,,"63 plays, skipped 0"
2026-04-02 21:30:49,B3,BATCH_SUMMARY,,,,"props_fetched=63, plays_added=0"
2026-04-02 21:30:49,B3,INTEGRITY_OK,/Users/salman/Documents/GitHub/PropEdgeV10.0/data/today.json,291,291,SAVE_TODAY
2026-04-02 21:30:51,B3,BATCH_COMPLETE,,,,
2026-04-03 06:00:00,B0,BATCH_START,,,,
2026-04-03 06:00:10,B0,BOXSCORES_FETCHED,,,,90 rows for 2026-04-02
2026-04-03 06:00:11,B0,BATCH_SUMMARY,,,,"plays_graded=54, wins=33, losses=21, dnp=31"
2026-04-03 06:00:13,B0,FILE_STATE_BEFORE_APPEND,nba_gamelogs_2025_26.csv,24668,,
2026-04-03 06:00:26,B0,INTEGRITY_OK,/Users/salman/Documents/GitHub/PropEdgeV10.0/source-files/nba_gamelogs_2025_26.csv,24668,24789,APPEND_GAMELOGS
2026-04-03 06:00:26,B0,ROLLING_UPDATE_FAILED,,,,name 'load_combined' is not defined
2026-04-03 06:06:05,B0,BATCH_COMPLETE,,,,
2026-04-03 08:00:01,B1,BATCH_START,,,,2026-04-03
2026-04-03 08:00:14,B1,PROPS_FETCHED,,,,"102 props, 9 games"
2026-04-03 08:00:36,B1,EXCEL_SOURCE_UPDATED,,,,props=16517 (+102) spreads=1409 (+9)
2026-04-03 08:00:56,B1,PREDICTIONS,,,,"101 plays, skipped 1"
2026-04-03 08:00:56,B1,BATCH_SUMMARY,,,,"props_fetched=101, plays_added=101"
2026-04-03 08:00:56,B1,INTEGRITY_OK,/Users/salman/Documents/GitHub/PropEdgeV10.0/data/today.json,291,392,SAVE_TODAY
2026-04-03 08:01:00,B1,BATCH_COMPLETE,,,,
2026-04-03 18:00:01,B2,BATCH_START,,,,2026-04-03
2026-04-03 18:00:17,B2,PROPS_FETCHED,,,,"104 props, 9 games"
2026-04-03 18:00:30,B2,EXCEL_SOURCE_UPDATED,,,,props=16519 (+2) spreads=1409 (+0)
2026-04-03 18:00:49,B2,PREDICTIONS,,,,"103 plays, skipped 1"
2026-04-03 18:00:50,B2,BATCH_SUMMARY,,,,"props_fetched=103, plays_added=2"
2026-04-03 18:00:50,B2,INTEGRITY_OK,/Users/salman/Documents/GitHub/PropEdgeV10.0/data/today.json,392,394,SAVE_TODAY
2026-04-03 18:00:53,B2,BATCH_COMPLETE,,,,
2026-04-03 21:30:02,B3,BATCH_START,,,,2026-04-03
2026-04-03 22:17:39,B3,BATCH_START,,,,2026-04-03
2026-04-03 22:17:46,B3,PROPS_FETCHED,,,,"106 props, 9 games"
2026-04-03 22:18:02,B3,EXCEL_SOURCE_UPDATED,,,,props=16523 (+4) spreads=1409 (+0)
2026-04-03 22:18:23,B3,PREDICTIONS,,,,"105 plays, skipped 1"
2026-04-03 22:18:23,B3,BATCH_SUMMARY,,,,"props_fetched=105, plays_added=4"
2026-04-03 22:18:23,B3,INTEGRITY_OK,/Users/salman/Documents/GitHub/PropEdgeV10.0/data/today.json,394,398,SAVE_TODAY
2026-04-03 22:18:26,B3,BATCH_COMPLETE,,,,
2026-04-03 23:11:27,B0,BATCH_START,,,,
2026-04-03 23:11:36,B0,BOXSCORES_FETCHED,,,,134 rows for 2026-04-02
2026-04-03 23:11:38,B0,BATCH_SUMMARY,,,,"plays_graded=28, wins=13, losses=15, dnp=3"
2026-04-03 23:11:41,B0,FILE_STATE_BEFORE_APPEND,nba_gamelogs_2025_26.csv,24789,,
2026-04-03 23:12:08,B0,INTEGRITY_OK,/Users/salman/Documents/GitHub/PropEdgeV10.0/source-files/nba_gamelogs_2025_26.csv,24789,24805,APPEND_GAMELOGS
2026-04-03 23:12:08,B0,ROLLING_UPDATE_FAILED,,,,name 'load_combined' is not defined
2026-04-03 23:21:47,B0,BATCH_COMPLETE,,,,
2026-04-04 06:16:50,B0,BATCH_START,,,,
2026-04-04 06:17:04,B0,BOXSCORES_FETCHED,,,,202 rows for 2026-04-03
2026-04-04 06:17:10,B0,BATCH_SUMMARY,,,,"plays_graded=101, wins=49, losses=52, dnp=6"
2026-04-04 06:17:19,B0,FILE_STATE_BEFORE_APPEND,nba_gamelogs_2025_26.csv,24805,,
2026-04-04 06:18:55,B0,INTEGRITY_OK,/Users/salman/Documents/GitHub/PropEdgeV10.0/source-files/nba_gamelogs_2025_26.csv,24805,25013,APPEND_GAMELOGS
2026-04-04 06:18:55,B0,ROLLING_UPDATE_FAILED,,,,name 'load_combined' is not defined
2026-04-04 08:14:29,B1,BATCH_START,,,,2026-04-04
2026-04-04 08:14:34,B1,PROPS_FETCHED,,,,"39 props, 3 games"
2026-04-04 08:31:54,B1,EXCEL_SOURCE_UPDATED,,,,props=16562 (+39) spreads=1412 (+3)
2026-04-04 08:34:11,B1,PREDICTIONS,,,,"37 plays, skipped 2"
2026-04-04 08:34:14,B1,BATCH_SUMMARY,,,,"props_fetched=37, plays_added=37"
2026-04-04 08:34:14,B1,INTEGRITY_OK,/Users/salman/Documents/GitHub/PropEdgeV10.0/data/today.json,398,435,SAVE_TODAY
2026-04-04 08:34:49,B1,BATCH_COMPLETE,,,,
2026-04-04 08:39:08,B0,BATCH_COMPLETE,,,,
2026-04-04 12:56:52,B0,BATCH_START,,,,
2026-04-04 12:57:03,B0,BOXSCORES_FETCHED,,,,202 rows for 2026-04-03
2026-04-04 12:57:04,B0,BATCH_SUMMARY,,,,"plays_graded=0, wins=0, losses=0, dnp=6"
